Čas;Přepsaný text;Extrahovaná data
2026-01-14 17:54:07;Titulky vytvořil JohnyX.;
2026-01-14 17:54:16;Ahojte.;
2026-01-14 17:54:24;...;
2026-01-14 17:54:32;... Dobrý den! Dobrý den! Pan hlavně odpovídá?;
2026-01-14 17:54:40;Nevidím žádný nebezpečí.;{'polozky': {'Nebezpečí': 'Žádné'}}
2026-01-14 17:54:47;tím tady žádný nebezpečí. Páne, teď to...;{'polozky': {'Nebezpečí': 'Žádný'}}
2026-01-14 17:54:55;Nějaký. Nějaký. A na bolestivý podmět.;
2026-01-14 17:55:03;Nebolestivý podměr. Tak jo, tak si napojíme. Napojíme si na monitor.;
2026-01-14 17:55:12;Titulky vytvořil JohnyX.;
2026-01-14 17:55:20;Naseďme tlakovou vnžetu. Splech se. Splech se jede. Tak pan nám saturnuje.;
2026-01-14 17:55:28;Tak, pan nám saturuje 93. Pan má barvu normální, předpokládám.;{'polozky': {'SpO2': '93', 'Barva kůže': 'normální'}}
2026-01-14 17:55:36;Děkujeme.;
2026-01-14 17:55:44;je... Srdční frekvenci máme 53,;{'polozky': {'Srdeční frekvence': '53'}}
2026-01-14 17:55:52;Tady si máme 53 a 54. Na periferii... Na periferii.;{'polozky': {'Periferní pulz (a. radialis)': '53/54'}}
2026-01-14 17:56:00;Na prvej chvíli nehmatný. Centrálně hmatný. Dobře, to je pravda. Tak a pár má tlak 70.;{'polozky': {'Periferní pulz (a. radialis)': 'nehmatný', 'Centrální pulz (a. carotis)': 'hmatný', 'Krevní tlak': '70'}}
2026-01-14 17:56:08;Tak a pán má tlak 74 na 52. Pán asi odtáhneme z toho stromu. Můžeme se teda položit ve služko.;{'polozky': {'Krevní tlak': '74/52'}}
2026-01-14 17:56:17;a pak se tady položíme službou.;
2026-01-14 17:56:25;Schválíme to nábožskému objevu a Rigy clásů v dobu musíme dopisovat k nim.;
2026-01-14 17:56:33;Já mám jistý. Já jistý, jestli žijou.;
2026-01-14 17:56:41;Zde je pouštíme kyslý maskou a ohulujeme.;{'polozky': {'Oxygenoterapie': 'kyslíková maska'}}
2026-01-14 17:56:49;A ohulil bych to plyně naplno na 92 saturaci, takže ohulíme kyslík naplno na nějakých 14 litrů.;{'polozky': {'SpO2': '92', 'Oxygenoterapie': '14 l/min'}}
2026-01-14 17:56:57;14 litrů. Dobře, rychle mi žílu, když mě půjčíš.;
2026-01-14 17:57:05;Zmíř. Zmířme panu teplotu. Glikémy.;{'polozky': {'Tělesná teplota (TT)': '', 'Glykémie': ''}}
2026-01-14 17:57:14;Díké mi. Teplotu je podchlazený třeba pan? Ne, přijde fin. Píškám žílu. Beru si rukavice.;{'polozky': {'Tělesná teplota (TT)': 'Podchlazený', 'Zajištění cévního vstupu': 'Žíla'}}
2026-01-14 17:57:22;Beru si rukaduce, tříkám, dáláme smarcha, píchám žílu, mám uvidím návrat krve, dávám dětskej set, propláchnu, co tam?;{'polozky': {'Zajištění cévního vstupu': 'IV přístup (dětský set)'}}
2026-01-14 17:57:30;Propláchnu. Jsem tam? Jsi tam. Dobře. Klikně mi měřím. Mám 5,6. 8,5. 8,5.;
2026-01-14 17:57:39;Osm a půl. Osm a půl. OK, když pána promáháme, cítím někde nějaký;
2026-01-14 17:57:46;Cítím někde nějaký... necítím nic, nemám na rukavicích krev. Měli bychom si pána otočili.;{'polozky': {'Krvácení (masivní)': 'Žádné'}}
2026-01-14 17:57:54;Taky nic. Taky nic. A hlava? Vzpomínáme na zornice. Zokreslí.;{'polozky': {'Zornice (Velikost/Symetrie)': 'Zokreslené'}}
2026-01-14 17:58:02;Dámy a pánové, dál. Reakce na obsud. Dámy a pánové, skápnou. Litr rychlé.;
2026-01-14 17:58:10;Litr rychlejc. Nechci si dělat dvanáctku ještě. Máme možnost udělat dvanáctku s monitorem, tak si uděláme dvanáctku.;
2026-01-14 17:58:19;Tak si uděláme dvanáctku. Tak letíme dvanáctku. A dáváme dvanáctku.;
2026-01-14 17:58:27;Titulky vytvořil JohnyX.;
2026-01-14 17:58:35;Titulky vytvořil JohnyX.;
2026-01-14 17:58:43;Můžu si dohodit na zadní slony? A viděla bych tam, jestli je ona celá. Ne, tak to je dohodit nějak.;
2026-01-14 17:58:52;než jsme viděli SOLYT;
2026-01-14 17:58:59;Titulky vytvořil JohnyX.;
2026-01-14 17:59:08;A? Saturace nalepíše. Takže ten liter rychle nefunguje. Takže ten liter rychle nefunguje.;
2026-01-14 17:59:16;A hele, jde nám do stimulace. Dobře, centrálně cítím nic. Tak jo. Pacienta moc nebejká.;{'polozky': {'Centrální pulz (a. carotis)': 'nepalpovatelný'}}
2026-01-14 17:59:24;Tak jo, tak začne mačkát.;
2026-01-14 17:59:32;Můžu i kupovat na loupámi malou? Co chcete? Můžu i kupovat na loupámi malou? Co chcete?;
2026-01-14 17:59:40;Tak to je všechno. Tak já bych na tím mluval. A budeme dovolávat druhou posádku, která? Máme ukazat.;
2026-01-14 17:59:48;Mám rukasa? Ááá... Můžela bych si levinkoskou...;
2026-01-14 17:59:56;Já bych to dneska zaintubovala, mám tam zpátu a mám dobra veřej. To máme zaintubováno.;{'polozky': {'Zajištění dýchacích cest (Advanced)': 'Intubováno'}}
2026-01-14 18:00:04;Máš za to Beno? Jo.;
2026-01-14 18:00:12;Tak já se poslechnu, jestli dejte a zároveň se můžete vejmout.;
2026-01-14 18:00:20;...;
2026-01-14 18:00:29;Necháme se dělat. Necháme se dělat. Necháme se dělat. Ok.;
2026-01-14 18:00:37;Titulky vytvořil JohnyX.;
2026-01-14 18:00:45;Nabídíme, podáme třikrát při výboje.;
2026-01-14 18:00:53;Podáme třikrát tři vývoje. Jak moc máme ten se? Rytmus je tento, no? Členi jenom na karotidy? Ne.;
2026-01-14 18:01:01;Ne. Ustupte, poda... Chystí pryč. Je. Kabum. Analizujeme rytmus. Furt to stejný.;
2026-01-14 18:01:10;To odejpersonální výstup over支持;
2026-01-14 18:01:18;Kabum. Furt stejný. Tak, nabíjeme ještě.;
2026-01-14 18:01:26;Pryč! Kabum! Dobrý, pokračujeme.;
2026-01-14 18:01:34;Takže máme první den, první bojovice do stopky.;
2026-01-14 18:01:42;Přeji, že bude za dvě minuty.;
2026-01-14 18:01:50;Takže budeme za 2 minuty dělat další návrh.;
2026-01-14 18:01:58;Máme večer sebou, takže to si můžeme navítat. Máme ventilátor, dáme ventilátor, pol. Nastavu na půl litru, 12 litrů za minutu.;{'polozky': {'Umělá plicní ventilace (UPV)': '0.5\u202fL, 12\u202fL/min'}}
2026-01-14 18:02:06;pětrů 12 nebo za měsíc.. Až teď zrakovorujeme. Ok!;
2026-01-14 18:02:14;OK. A chceš nějak dostřídat? No, tak další, já tam nejdu. Dobře.;
2026-01-14 18:02:23;Dobře. Já se tím natáhnu amiodarona, adrenalin. Dvě minuty jsou odpouštění defektu, jo? Jo.;{'polozky': {'Amiodarone': '', 'Adrenalin': ''}}
2026-01-14 18:02:31;Jo. Takže ve třetí minutě byste měli to. Na tehu si jeden miligram.;
2026-01-14 18:02:39;1 mg adrenaline a na tohle 300 mg amiodarona.;{'polozky': {'Adrenalin': '1 mg', 'Amiodaron': '300 mg'}}
2026-01-14 18:02:47;Co, kapno? Osm. Kapno pořád.;{'polozky': {'EtCO2': 'kapno pořád'}}
2026-01-14 18:02:55;Titulky vytvořil JohnyX.;
2026-01-14 18:03:03;Titulky vytvořil JohnyX.;
2026-01-14 18:03:11;Titulky vytvořil JohnyX.;
2026-01-14 18:03:19;Titulky vytvořil JohnyX.;
2026-01-14 18:03:28;K vás připravím si defík.;
2026-01-14 18:03:36;Titulky vytvořil JohnyX.;
2026-01-14 18:03:44;Pojď. Kontrola rytmu. Sahina karnatona karatidy.;{'polozky': {'EKG': 'provedeno'}}
2026-01-14 18:03:52;Cítím, že se uvzace centrálně.;{'polozky': {'Centrální pulz (a. carotis)': 'Cítí se'}}
2026-01-14 18:04:00;Nejdřív sejdem slabý huluzace centrálně. Také máme rozk. Na perifece, furt dál necítím.;{'polozky': {'Periferní pulz (a. radialis)': 'Absent'}}
2026-01-14 18:04:08;Pán Cikým.;
2026-01-14 18:04:17;Pán se nám pere zventilátor a máme tam nějakou interferenci zventilátor a ne.;
