Čas;Přepsaný text;Extrahovaná data;JSON Text
2026-01-14 15:34:15;Dobrý den, pane. Dobrý den.;;Dobrý den, pane. Dobrý den.
2026-01-14 15:34:23;Dobrý den, halo, slyšíte nás? Pane? Halo, halo, slyšíte nás? Reaguju.;;Haló, slyšíte nás? Pane? Haló, haló, slyšíte nás? Reaguje? Bolí vás něco?
2026-01-14 15:34:32;Reaguje? Bolí vás něco? Co se toho říká? Tak ty, co nemějí;;Tak ho asi položíme. Tak teď se na něj...
2026-01-14 15:34:40;Tak teď se na něj dívám, vidím nějakou odřejinu. Nějakou pichy. Pát hnedičky. Dobře, tak.;{'polozky': {'Barva kůže': 'odřeny, pichy, hnědičky'}};Dívám se na něj, vidím nějakou odřeninu. Něco, nějaké vpichy?
2026-01-14 15:34:48;Takže tak no.;;
2026-01-14 15:34:56;Titulky vytvořil JohnyX.;;
2026-01-14 15:35:04;Titulky vytvořil JohnyX.;;
2026-01-14 15:35:12;Tady je můj témat. Tady je můj témat. Tady je můj témat.;;
2026-01-14 15:35:20;Titulky vytvořil JohnyX.;;
2026-01-14 15:35:29;Tě to dýchám. A dýchám symetricky.;{'polozky': {'Symetrie dýchání': 'Symetrické'}};hmm
2026-01-14 15:35:37;A dýchá symetricky. Ok, tak dáme ten. Je tam... Je tady čitla na... Na saturaci.;{'polozky': {'Symetrie dýchání': 'Symetrické'}};Dýchá symetricky Tak dáme ten, emmmm Počkej tady je čidlo na... na saturaci
2026-01-14 15:35:45;Na saturaci. Mně to už je 20, ale... Nechůj za minutu.;{'polozky': {'SpO2': '20'}};Mě to vyšlo 25. Dechou za minutu. 94. Tak mi dáme kysliček.
2026-01-14 15:35:53;Můžeme?;;Můžeme.
2026-01-14 15:36:01;55 tůjů, už kubra de Cartier.;;55 pulzů, bradykardie Dýchání jaký?
2026-01-14 15:36:09;Sklípkový vyohrančený ozby.;;Sklípkový a dvě ohraničený ozvy.
2026-01-14 15:36:17;Sklíkový biohrenčený odbyt. Kapilární návrh. Tři vteřiny. Tak dáváme kyslík, pustíme tak 8 litrů.;{'polozky': {'Kapilární návrat': '', 'Oxygenoterapie': '8 l/min'}};Sklípkový, dvě ohraničený ozvy. Kapilární návrat? Tři vteřiny. Tak dáváme kyslíku, pustíme tak 8 litrů.
2026-01-14 15:36:25;Máme tak 8 litrů. Tady se mě kouzace cítí? Necítíme. Jaký má tlak?;;Periferní pulzace cítí? Necítíme. Jaký má tlak?
2026-01-14 15:36:34;Tak natočím.;;Tak natočíme tlak.
2026-01-14 15:36:42;Pane, slyšíte nás?;;Ano, to ne. Pane, slyšíte nás?
2026-01-14 15:36:50;Slyšíte nás? Haló? Pane? Nízký. Nedotekovaný ten.;;Haló? Pane? Nízký. Nedotekovaný ten.
