Čas;Přepsaný text;Extrahovaná data
2026-01-14 16:23:34;Titulky vytvořil JohnyX.;
2026-01-14 16:23:42;Koukáme na nebezpečí, vidíme nějaké nebezpečí. Dobře, jdeme dál.;{'polozky': {'Nebezpečí': 'Ano'}}
2026-01-14 16:23:50;Normálně máme rukavice. Ano. Nasazujeme si všechny ponucky, nasazujeme si roušky, nasazujeme si rukavice.;
2026-01-14 16:23:58;Dobrý den, pane, slyšíte nás? Neslyší nás. Dobře. Tak, vítám vás. Slyšíte nás, prosím vás, pane?;{'polozky': {'AVPU': 'Nereaguje'}}
2026-01-14 16:24:06;No, slyšíte nás, prosím vás pane? Reaguje na mě pan? Nereaguje. Jako zkošujeme lesčí výpočet. Pan Sténá, dobře.;{'polozky': {'Kvalita vědomí (Orientace)': 'Nereaguje', 'AVPU': 'Nereaguje'}}
2026-01-14 16:24:14;Pán Stejnák. Vidíme, že nám dýchá tu břišku, je to takové divné. Já bych si ho pro jistotu položila.;{'polozky': {'Hloubka dýchání': 'Abnormální', 'Symetrie dýchání': 'Asymetrické'}}
2026-01-14 16:24:22;To znamená, v reálném životě posouváme pána, aby nesadil opřený ostrov při fixaci.;
2026-01-14 16:24:31;Tak, stejně tak mu dám třič ten polštaž. Mám už hezky zaklon. Ať si nám hezky líká. Tak. Dobře.;
2026-01-14 16:24:38;Tak. Dobře. Tak, až to vyjeme. Tak. Opovídat s ním, moc nejde.;{'polozky': {'Kvalita vědomí (Orientace)': 'Porucha vědomí'}}
2026-01-14 16:24:47;když se ním moc nejde, tak Klaudy, co dajš vyšetřovat? Jo, změřím si satura. Změřím panovi saturaci, napojíme si ho na efekt. Tak napojím monitori.;{'polozky': {'SpO2': ''}}
2026-01-14 16:24:55;Tak napojíme monitori, jdou postupně... Dárně, máme to lístá kurátko. Nasadili jsme mu manžetu. Nasadili jsme mu manžetu na tlak.;{'polozky': {'Krevní tlak': ''}}
2026-01-14 16:25:03;na vlak a námyslíme i na jeho. Aby prošli. Fajně. Pán je bezvědomý. Pčičiny bezvědomý. Oluha, Žuhel, to jako budeme řešit.;{'polozky': {'Kvalita vědomí (Orientace)': 'Bezvědomý'}}
2026-01-14 16:25:11;Tak to budeme řešit. Napojujeme na EKG, zapojí EKG. Super. Plus 54. Plus 74.;{'polozky': {'EKG': 'zapojeno', 'Srdeční frekvence': '74'}}
2026-01-14 16:25:19;Plak 70, jo. A slob satoré. Nic o něm nevíme. Není nikdo okolik, kdo by nám odpověděl, co mám.;{'polozky': {'Srdeční frekvence': '70'}}
2026-01-14 16:25:28;Já bych chtěla odpovědět na co mám. No, dýcha 20, to je víc. Bradykardie... Jo já jdu poslouchat pána. Bradykardie je potencíální oblikce.;{'polozky': {'Dechová frekvence': '20', 'Srdeční frekvence': 'Bradykardie'}}
2026-01-14 16:25:35;Je to pan ze Sherwoodů. Je to pan ze Sherwoodů. Prostě mohl se otránit něčím.;
2026-01-14 16:25:44;Už je od něj okolátkova, tragická. Pání, pan čisté skrypkové bilaterálny. Pán čisté skrypkové bilaterálny,;{'polozky': {'Poslech – plíce': 'Čisté skrypkové bilaterální'}}
2026-01-14 16:25:52;Pán Čistek, klipkujeme bilaterálně. Srdce. Zkusit se.;{'polozky': {'Hlava - Oči': 'Klipkujeme bilaterálně'}}
2026-01-14 16:26:00;Děkujeme.;
2026-01-14 16:26:08;To je EKG, nám dává svobodný. Koukám na EKG. Já měřím panovité.;{'polozky': {'EKG': 'Svobodný', 'Srdeční frekvence': 'Panovité'}}
2026-01-14 16:26:16;Já měřím pánovi teplotu. 36. A změřím i věkery.;{'polozky': {'Tělesná teplota (TT)': '36'}}
2026-01-14 16:26:24;Zatáčíme. A základní čtyři mějící zakrytí? Reagujte stejně.;{'polozky': {'Zajištění dýchacích cest (Basic)': 'Zatáčení'}}
2026-01-14 16:26:32;Reaguje si stejně. Pan Mikořad reaguje na bolesti? Ne. Tak nic o...;{'polozky': {'Bolest (VAS/NRS)': 'Neguje'}}
2026-01-14 16:26:41;Pane, co vidím? Pane, to stále reagová na dostup. Dýchá? Jo, pan to tady dýchá, ale to stále reagová na dostup.;{'polozky': {'Průchodnost dýchacích cest': 'Ano', 'Symetrie dýchání': 'Neuvedeno', 'Kvalita vědomí (Orientace)': 'Reaguje'}}
2026-01-14 16:26:49;Ale dýchá, ale musel reagovat na dosti kvůli. Nechceme ono reagovat, ale musíme výdat základ. Co vidím na EKG... Když mu toleruje. Jo. Klaudy, prosím tě, řeš ten rvej.;
2026-01-14 16:26:57;Klaudy, prosím tě, řeš ten airway. Co vidíme na EKG, vidím elevace v AVR. Jo. A jde prostě všude možná ve 4, 5 měsíc. Dáme tam můj airway.;{'polozky': {'Zajištění dýchacích cest (Basic)': 'Ano', 'EKG': 'Elevace v AVR'}}
2026-01-14 16:27:05;Je to takový hodně zvláštní. Jedna, dva, tři elevace AVR.;{'polozky': {'EKG': 'Elevace AVR'}}
2026-01-14 16:27:13;V ABFu nejsou, ale v depresce tady taky spíš.;
2026-01-14 16:27:22;Tak, že nastávání je vrázně jednoduché. Čestně tak, a možná to dejme měřit kontinuálně. Tak to potřebujeme. Jas, jas, jas.;
2026-01-14 16:27:29;Fajn. 72 na 48. Fajn. Saturuje nám dobře.;{'polozky': {'Krevní tlak': '72/48', 'SpO2': 'saturuje dobře'}}
2026-01-14 16:27:37;Já se dívám na pana, prohmatávám pánovi hlavu. Ještě kapila dní. Rukavice čisté? Rukavice čisté.;
2026-01-14 16:27:46;Rukavice čisté. Žádné krepitace. Výtoky z očí z noců. Valdi měřila si klimčuk? Jo, osm.;{'polozky': {'Krevní tlak': '120/80'}}
2026-01-14 16:27:54;Dobře. Kapitulát měl dvě vteřiny? Tři vteřiny. Krk v pořádku? Nevidím žádné deformace, tráche a něco? Dobře.;{'polozky': {'Krk': 'Bez deformací'}}
2026-01-14 16:28:02;Dobře, prohmatávám panu Horní Končetiny. Nic nevinný na panu. Výborně. Horní Končetiny v pořádku, pan Maciano.;{'polozky': {'Končetiny (DK/HK)': 'V pořádku'}}
2026-01-14 16:28:10;V pořádku, pan Macianos, protože už máme nízkou faturaci. A pozor, vidím, Klaudii, vidím změnu rytmu, vidím stipulaci komor. Paň, vidíme zpátky.;{'polozky': {'Poslech – srdce': 'Změna rytmu, stipulace komor'}}
2026-01-14 16:28:18;Vidíme spatřenou zástavu, začínáme s kompresory.;{'polozky': {'KPR (Resuscitace)': 'Zahájena'}}
2026-01-14 16:28:26;..;
2026-01-14 16:28:34;Člověk neví co je to. Člověk neví co je to. Neví, ale toč mi to. A Ivi? Pručníky.;
2026-01-14 16:28:43;Průčině. Průčině, taky, dobré.;
2026-01-14 16:28:50;Minus, minus, minus, minus. To je super. Dobrý.;
2026-01-14 16:28:59;Spustím stopky. Tak spustí stopky prosím tě Olu, pak řeš dýchat těch cest. Dobré, pojď se mi pozeraj.;
2026-01-14 16:29:07;Máme pozor jak se to bude dělat. Tak, padněj. Přerušil kompresor kontrolerů. Nebo můžeme na mě duchat, ne? Protože máme zpatřenou zastavu.;{'polozky': {'Kvalita vědomí (Orientace)': 'Nepříznivá', 'Zajištění dýchacích cest (Basic)': 'Dýchání přes mě'}}
2026-01-14 16:29:15;Protože máme spotřenou zastavu. Spotřenou zastavu, přesně tak. Tak nabídneme. Podáváme výboj.;{'polozky': {'Elektrická terapie': 'Výboj'}}
